"","CloseTime","OpenPrice","HighPrice","LowPrice","ClosePrice","Volume","QuoteVolume"
"1",2021-06-18,40.23,40.57,38.3,39.13,6007.61849007,236628.436335304
"2",2021-06-19,39.14,39.36,35,36.62,13557.35719612,502474.71775221
"3",2021-06-20,36.82,37.35,35,35.45,16986.16371574,609327.78474455
"4",2021-06-21,35.09,35.89,31.48,35.28,38681.26577486,1306981.51117526
"5",2021-06-22,35.08,35.08,26,26.55,41903.6132245,1257696.4155945
"6",2021-06-23,26.43,28.69,20.2,26.18,48006.84855019,1193925.0383691
"7",2021-06-24,26.79,32.71,26.79,30,37290.44458076,1144480.84417243
"8",2021-06-25,30.27,33.56,28.64,31.19,24187.93388729,758892.820754531
"9",2021-06-26,31.42,33.14,28.1,29.03,48738.38446621,1464448.04843943
"10",2021-06-27,28.69,30.02,26.7,29.38,26213.15592514,736585.061259209
"11",2021-06-28,29.75,31.86,29.22,31.75,8770.79977198,268271.305307167
"12",2021-06-29,31.85,39.02,31.27,32.98,31822.5439439,1055534.59811024
"13",2021-06-30,32.98,40,32.87,33.78,41821.27190536,1454771.5077757
"14",2021-07-01,33.88,35.83,31.32,35.83,79213.61419526,2605439.97237974
"15",2021-07-02,35.57,35.57,32.4,33.4,36924.84318961,1242391.48932404
"16",2021-07-03,33.24,34.07,31.44,34.07,45209.4887752,1484025.27528678
"17",2021-07-04,34.05,35.35,33.34,34.53,38210.44831316,1314964.15065148
"18",2021-07-05,34.43,35.54,33.61,34.36,51599.70355906,1795818.71583426
"19",2021-07-06,34.33,34.47,32.46,32.91,34278.72189983,1148150.70761744
"20",2021-07-07,33.05,35,33.02,34.29,52631.22243746,1781881.73330982
"21",2021-07-08,34.16,40,33.89,36.5,105047.06297725,3825384.02855407
"22",2021-07-09,36.6,36.99,32.75,33.19,121745.72990599,4196221.33209719
"23",2021-07-10,33.19,34.41,32.01,33.33,55544.40437247,1837947.58061354
"24",2021-07-11,33.34,34.16,31.09,31.72,30297.74290243,986648.80272655
"25",2021-07-12,31.72,32.57,31.42,32.06,23938.04596829,766003.55845778
"26",2021-07-13,32.17,32.62,30.09,30.96,46221.77522497,1444486.43477812
"27",2021-07-14,30.65,31.03,28.87,29.16,56957.52221411,1721921.34052852
"28",2021-07-15,29.08,31.43,27.45,31.32,57111.07201248,1690335.74954291
"29",2021-07-16,31.32,31.41,28.07,28.51,92720.05468001,2735066.06839756
"30",2021-07-17,28.53,29.4,26.19,26.29,93684.11124659,2587975.34713872
"31",2021-07-18,26.27,27.77,26.01,26.73,62718.54634293,1656531.24926906
"32",2021-07-19,26.78,27.72,26.35,26.82,33297.02050214,893578.793947593
"33",2021-07-20,26.67,26.67,23.82,24.52,217874.09036221,5379452.37920803
"34",2021-07-21,24.61,24.95,22.22,23.44,71017.21633237,1663176.56070701
"35",2021-07-22,23.42,27.42,22.84,26.61,85280.1748452,2220808.63084824
"36",2021-07-23,26.74,28.13,25.94,27.87,79836.13761698,2183914.95056683
"37",2021-07-24,27.86,28.63,26.47,28.49,36903.36613024,1011948.81757866
